compound,szafa,Stack voltage,Cell current,Stack power,Air,CO2,N2,N2.1,H2,CO2.1,H2O,CH3OH
"MeOH+H2O, 640C",1.82,1.81,15.0,27.150000000000002,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.78,1.76,18.0,31.68,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.75,1.71,21.0,35.91,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.72,1.65,24.0,39.599999999999994,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.69,1.59,27.0,42.93,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.66,1.54,30.0,46.2,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.63,1.47,33.0,48.51,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.59,1.43,36.0,51.48,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.55,1.36,39.0,53.040000000000006,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.51,1.29,42.0,54.18,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.49,1.21,45.0,54.449999999999996,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.97,2.1,0.0,0.0,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.94,2.05,3.0,6.1499999999999995,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.92,1.99,6.0,11.94,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.88,1.94,9.0,17.46,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.86,1.88,12.0,22.56,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.82,1.83,15.0,27.450000000000003,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.8,1.78,18.0,32.04,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.77,1.72,21.0,36.12,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.73,1.67,24.0,40.08,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.71,1.61,27.0,43.470000000000006,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.67,1.55,30.0,46.5,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.64,1.5,33.0,49.5,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.62,1.44,36.0,51.839999999999996,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.58,1.39,39.0,54.209999999999994,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.55,1.33,42.0,55.86,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.52,1.27,45.0,57.15,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.48,1.22,48.0,58.56,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.43,1.15,51.0,58.65,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.41,1.07,54.0,57.78,16.0,6.0,0.0,0.0,0.0,,,47.4
"MeOH+H2O, 640C",1.92,2.05,0.0,0.0,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.55,1.47,24.0,35.28,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.63,1.6,24.0,38.400000000000006,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 640C",1.68,1.63,24.0,39.12,8.0,3.0,0.0,2.0,0.0,,,23.7
"MeOH+H2O, 640C",1.55,1.47,24.0,35.28,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.53,1.47,24.0,35.28,10.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.46,1.4,24.0,33.599999999999994,12.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.33,1.27,24.0,30.48,14.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.55,1.47,24.0,35.28,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.6,1.53,24.0,36.72,8.0,4.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.6,1.53,24.0,36.72,8.0,5.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.61,1.53,24.0,36.72,8.0,6.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.55,1.47,24.0,35.28,8.0,3.0,0.0,0.0,0.0,0.0,,23.7
"MeOH+H2O, 640C",1.58,1.5,24.0,36.0,8.0,3.0,0.0,0.0,0.0,1.0,,23.7
"MeOH+H2O, 640C",1.55,1.45,24.0,34.8,8.0,3.0,0.0,0.0,0.0,2.0,,23.7
"MeOH+H2O, 640C",1.49,1.41,24.0,33.839999999999996,8.0,3.0,0.0,0.0,0.0,3.0,,23.7
"MeOH+H2O, 640C",1.95,2.1,0.0,0.0,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.72,1.66,24.0,39.839999999999996,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.7,1.65,24.0,39.599999999999994,16.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.68,1.62,24.0,38.88,20.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.65,1.61,24.0,38.64,24.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.63,1.57,24.0,37.68,30.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.72,1.66,24.0,39.839999999999996,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.72,1.66,24.0,39.839999999999996,12.0,9.0,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.7,1.65,24.0,39.599999999999994,12.0,15.0,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",,,24.0,0.0,12.0,27.0,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.72,1.66,24.0,39.839999999999996,12.0,4.5,0.0,0.0,0.0,0.0,,35.55
"MeOH+H2O, 640C",1.55,1.49,24.0,35.76,12.0,4.5,0.0,0.0,0.0,5.0,,35.55
"MeOH+H2O, 640C",1.58,1.52,24.0,36.480000000000004,12.0,4.5,0.0,0.0,0.0,2.5,,35.55
"MeOH+H2O, 640C",1.63,1.58,24.0,37.92,12.0,4.5,0.0,0.0,0.0,1.0,,35.55
"MeOH+H2O, 640C",,,24.0,0.0,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",,,24.0,0.0,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",,,,0.0,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",,,,0.0,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",,,,0.0,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",,,,0.0,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",,,,0.0,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.94,2.11,0.0,0.0,4.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.91,2.04,3.0,6.12,4.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.87,1.98,6.0,11.879999999999999,4.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.83,1.92,9.0,17.28,4.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.79,1.85,12.0,22.200000000000003,4.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.75,1.78,15.0,26.7,4.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.71,1.71,18.0,30.78,4.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.67,1.63,21.0,34.23,4.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.6,1.54,24.0,36.96,4.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.52,1.45,27.0,39.15,4.0,3.0,0.0,0.0,0.0,,,23.7
